times,Temp,Units
2008-06-02 20:00:00,64.46,F
2008-06-02 20:30:00,64.33,F
2008-06-02 21:00:00,64.03,F
2008-06-02 21:30:00,63.69,F
2008-06-02 22:00:00,63.46,F
2008-06-02 22:30:00,63.34,F
2008-06-02 23:00:00,63.28,F
2008-06-02 23:30:00,63.19,F
2008-06-03 00:00:00,63.01,F
2008-06-03 00:30:00,62.96,F
2008-06-03 01:00:00,62.88,F
2008-06-03 01:30:00,62.78,F
2008-06-03 02:00:00,62.8,F
2008-06-03 02:30:00,62.73,F
2008-06-03 03:00:00,62.73,F
2008-06-03 03:30:00,62.74,F
2008-06-03 04:00:00,62.64,F
2008-06-03 04:30:00,62.64,F
2008-06-03 05:00:00,62.53,F
2008-06-03 05:30:00,62.52,F
2008-06-03 06:00:00,62.53,F
2008-06-03 06:30:00,62.5,F
2008-06-03 07:00:00,62.54,F
2008-06-03 07:30:00,62.55,F
2008-06-03 08:00:00,62.57,F
2008-06-03 08:30:00,62.61,F
2008-06-03 09:00:00,62.65,F
2008-06-03 09:30:00,62.66,F
2008-06-03 10:00:00,62.64,F
2008-06-03 10:30:00,62.83,F
2008-06-03 11:00:00,62.72,F
2008-06-03 11:30:00,62.74,F
2008-06-03 12:00:00,62.89,F
2008-06-03 12:30:00,62.79,F
2008-06-03 13:00:00,63.0,F
2008-06-03 13:30:00,63.45,F
2008-06-03 14:00:00,63.64,F
2008-06-03 14:30:00,63.55,F
2008-06-03 15:00:00,63.52,F
2008-06-03 15:30:00,63.55,F
2008-06-03 16:00:00,63.07,F
2008-06-03 16:30:00,63.2,F
2008-06-03 17:00:00,62.87,F
2008-06-03 17:30:00,62.58,F
2008-06-03 18:00:00,62.33,F
2008-06-03 18:30:00,62.4,F
2008-06-03 19:00:00,62.32,F
2008-06-03 19:30:00,62.2,F
2008-06-03 20:00:00,62.1,F
2008-06-03 20:30:00,62.13,F
2008-06-03 21:00:00,62.31,F
2008-06-03 21:30:00,62.13,F
2008-06-03 22:00:00,62.21,F
2008-06-03 22:30:00,62.4,F
2008-06-03 23:00:00,62.26,F
2008-06-03 23:30:00,62.31,F
2008-06-04 00:00:00,62.29,F
2008-06-04 00:30:00,62.2,F
2008-06-04 01:00:00,62.15,F
2008-06-04 01:30:00,62.06,F
2008-06-04 02:00:00,62.01,F
2008-06-04 02:30:00,62.03,F
2008-06-04 03:00:00,62.03,F
2008-06-04 03:30:00,61.98,F
2008-06-04 04:00:00,61.93,F
2008-06-04 04:30:00,61.94,F
2008-06-04 05:00:00,61.9,F
2008-06-04 05:30:00,61.71,F
2008-06-04 06:00:00,61.65,F
2008-06-04 06:30:00,61.42,F
2008-06-04 07:00:00,61.67,F
2008-06-04 07:30:00,61.5,F
2008-06-04 08:00:00,61.5,F
2008-06-04 08:30:00,61.59,F
2008-06-04 09:00:00,61.66,F
2008-06-04 09:30:00,61.8,F
2008-06-04 10:00:00,62.0,F
2008-06-04 10:30:00,61.81,F
2008-06-04 11:00:00,61.11,F
2008-06-04 11:30:00,61.12,F
2008-06-04 12:00:00,61.12,F
2008-06-04 12:30:00,61.05,F
